"*04xec*","F","Matt Boldy","MIN","F","Act","22","17","1.31","13","7","9","4","49","0","4","0","10"
"*02wy7*","F","Pavel Buchnevich","STL","F","Act","28","11.8","1.07","11","7","2","10","24","0","2","1","8"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","11.7","0.9","13","6","5","6","28","0","4","0","7"
"*01skr*","F","Mikael Granlund","SJS","F","Act","32","7.5","0.83","9","3","4","6","20","0","5","0","5"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","11.7","0.9","13","4","6","2","19","1","2","0","17"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","12.6","0.9","14","2","7","2","21","0","4","0","36"
"*05gd8*","F","Mason McTavish","ANA","F","Act","21","10.3","1.14","9","4","5","12","20","0","0","0","13"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","22.5","1.61","14","9","7","12","46","1","4","1","45"
"*02yjj*","F","William Nylander","TOR","F","Act","27","22.3","1.72","13","10","12","8","48","1","9","0","3"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","11.3","0.87","13","7","4","4","41","0","3","0","3"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","11.7","0.84","14","4","6","2","33","0","2","0","17"
"*03ne3*","F","Frank Vatrano","ANA","F","Act","29","14.4","1.31","11","7","5","14","32","0","6","0","24"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","11.6","1.05","11","1","9","4","21","0","3","0","16"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","7","0.5","14","2","4","2","30","0","2","0","10"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","9.6","0.69","14","0","9","4","33","0","4","0","6"
"*02ib8*","D","Torey Krug","STL","D","Act","32","12.8","1.16","11","2","10","4","20","0","5","0","8"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","9.3","0.85","11","1","2","20","11","0","0","0","63"
"*04alw*","D","Cale Makar","COL","D","Act","25","6.6","0.51","13","1","5","0","35","0","1","0","6"
"*02un7*","F","Aleksander Barkov","FLA","F","Res","28","13.5","1.12","12","4","8","2","27","0","7","0","15"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","9.4","0.78","12","3","3","18","35","0","1","0","34"
"*02fzj*","F","Blake Coleman","CGY","F","Res","32","8.7","0.79","11","5","2","25","26","0","0","0","17"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","8.2","0.63","13","2","6","0","31","0","1","0","2"
"*04lcf*","F","Joel Farabee","PHI","F","Res","24","6.4","0.53","12","1","4","6","26","0","1","0","14"
"*01s88*","F","Adam Henrique","ANA","F","Res","34","10.9","0.99","11","3","6","7","18","0","2","0","19"
"*03167*","F","Bo Horvat","NYI","F","Res","28","7.6","0.69","11","3","4","9","36","0","1","0","6"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Res","33","9.1","0.83","11","5","4","2","21","0","3","0","1"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","7.3","0.56","13","0","4","13","25","0","2","0","33"