"*04xec*","F","Matt Boldy","MIN","F","Act","22","51","0.93","55","23","26","40","165","0","16","0","20"
"*02wy7*","F","Pavel Buchnevich","STL","F","Act","28","55.1","0.95","58","24","24","40","155","2","10","2","31"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","58.2","0.95","61","23","33","14","130","0","13","0","22"
"*01skr*","F","Mikael Granlund","SJS","F","Act","32","40.1","0.85","47","8","28","20","93","0","14","0","41"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","56.6","0.93","61","19","29","12","134","1","14","0","86"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","55.4","0.89","62","18","28","42","112","0","9","1","74"
"*05gd8*","F","Mason McTavish","ANA","F","Act","21","43.9","0.84","52","17","23","74","117","1","8","0","39"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","99.8","1.58","63","30","53","47","145","2","33","1","148"
"*02yjj*","F","William Nylander","TOR","F","Act","27","85.1","1.42","60","33","50","20","245","3","31","0","21"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","70.3","1.12","63","32","33","12","177","0","22","2","13"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","64.9","1.03","63","21","39","18","179","0","19","0","49"
"*03ne3*","F","Frank Vatrano","ANA","F","Act","29","62.3","1.02","61","29","19","69","191","2","17","2","103"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","67.3","1.12","60","7","55","26","134","0","23","0","53"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","38.8","0.65","60","14","21","12","113","1","6","0","38"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","73.2","1.16","63","12","59","28","150","0","27","0","22"
"*02ib8*","D","Torey Krug","STL","D","Act","32","35.8","0.6","60","3","29","28","127","0","11","0","38"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","37.3","0.6","62","6","5","86","76","0","0","0","263"
"*04alw*","D","Cale Makar","COL","D","Act","25","66.8","1.17","57","13","51","12","172","1","28","0","28"
"*02un7*","F","Aleksander Barkov","FLA","F","Res","28","65.7","1.19","55","15","45","20","151","0","24","0","57"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","38.4","0.78","49","14","15","83","124","0","10","0","94"
"*02fzj*","F","Blake Coleman","CGY","F","Res","32","54.9","0.92","60","25","22","61","141","4","2","0","79"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","44.8","0.75","60","18","25","21","173","0","4","0","18"
"*04lcf*","F","Joel Farabee","PHI","F","Res","24","49","0.79","62","18","27","35","146","0","7","0","40"
"*01s88*","F","Adam Henrique","ANA","F","Res","34","49.1","0.82","60","18","24","33","111","2","10","1","51"
"*03167*","F","Bo Horvat","NYI","F","Res","28","55.9","0.95","59","23","29","29","183","0","15","0","39"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Res","33","54.9","0.89","62","22","29","12","142","0","22","1","19"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","36.3","0.6","60","4","18","47","114","0","6","0","143"